name,address,link,region,lat,lng
אנסטסיה,"פרישמן 54, תל אביב",https://www.anastasiatlv.co.il,מרכז,32.079522,34.774872
אל גליל,"האורנים 98, אמירים",https://www.facebook.com/elianashkarr,צפון,32.938631,35.452719
אניצ׳ה,"דיזינגוף 130, תל אביב",https://www.anicca.co.il,מרכז,32.090815,34.775868
מור אנד מור,גבעת השלושה,https://morandmore.co.il,מרכז,32.098089,34.921147
חוביזה,"הרצל 44, כפר סבא",https://www.instagram.com/hubeza_vegan,מרכז,32.174600,34.911144
שועלה,ניר יפה,https://www.instagram.com/shooala_vegan_coffee_trailer,צפון,32.569629,35.245298
נשה,"דרך האחיות 14, ירושלים",https://www.facebook.com/photo/?fbid=2111006522741325&set=pcb.10037466896344082,ירושלים,31.756442,35.182328
אלפקה בר,"פלורנטין 40, תל אביב",https://www.facebook.com/profile.php?id=100090122100930,מרכז,32.056181,34.771228
גודנס,"המלך ג'ורג 32, תל אביב",https://www.instagram.com/goodness_tlv_il,מרכז,32.072441,34.774371
גרין רול סושי,"אחד העם 11, תל אביב",https://thegreenroll.co.il/,מרכז,32.063832,34.770374
החתול הירוק,"לבונטין 7, תל אביב",https://www.facebook.com/greencatvegan,מרכז,32.061738,34.774758
ריינבו,"אבן גבירול 88, תל אביב",https://www.facebook.com/rainbowpitta,מרכז,32.082527,34.781497
קפה אווה,"אבן גבירול 129, תל אביב",https://www.instagram.com/cafe.eva.tlv,מרכז,32.088598,34.782248
פלאפל סומסום,"אלנבי 78, תל אביב",https://www.facebook.com/profile.php?id=100083385480517,מרכז,32.067826,34.770890
הטבעונית J17,"ירמיהו 17, תל אביב",https://www.facebook.com/J17vegan,מרכז,32.094863,34.775886
משק ברזילי,"אחד העם 8, תל אביב",https://www.facebook.com/profile.php?id=100091595333751,מרכז,32.063314,34.768529
סימונצ׳ו קייקס,"דרך שלמה 3, תל אביב",https://www.facebook.com/Simonchu.cakes,מרכז,32.055053,34.760257
אופה,"החלוצים 8, תל אביב",https://www.facebook.com/opatlv,מרכז,32.060053,34.773249
טנאת,"צ'לנוב 27, תל אביב",https://www.facebook.com/tenatvegan,מרכז,32.057082,34.774898
מרקט טבעוני דיזינגוף,"דיזינגוף 140, תל אביב",https://www.facebook.com/marketdizingof,מרכז,32.090815,34.775868
ג'וסה,"דיזינגוף 101, תל אביב","https://www.facebook.com/JUSAColdPressed,",מרכז,32.087234,34.775102
חומוס בדרה,"הרצל 173, רחובות",https://www.facebook.com/Hummusbadra,מרכז,31.897851,34.810519
מיץ מרק,"כצנלסון 49, גבעתיים",https://www.facebook.com/profile.php?id=100051158725727,מרכז,32.075392,34.806230
טבע האוכל,"ויצמן 140, כפר סבא",https://www.facebook.com/hummustovveod,מרכז,32.172876,34.918536
בטבע של בני,"נבטים 28, כרכור",https://www.facebook.com/BennysNature,צפון,32.472026,35.000325
יאמימה,"המייסדים 26, פרדס חנה",https://www.facebook.com/YamimaVegan,צפון,32.470399,34.990053
שובולנה,"דרך המצפה 5, קציר",https://www.instagram.com/so_bo_la_na,צפון,,
ג'נסיס," הרצל 192, רחובות",https://www.facebook.com/Genesisvegandelights,מרכז,31.897955,34.810782
משיגנע," המייסדים 41, זכרון יעקב",https://www.facebook.com/MeshiganeVeganCafe,צפון,32.572845,34.953714
חומוס בר," נתנזון 22, חיפה",https://www.facebook.com/hummusbar.co.il,צפון,32.816187,35.002201
חומוס 90,אשדות יעקב מאוחד,https://www.facebook.com/hummus90,צפון,32.662065,35.582001
קלקידן,"הדקלים 99, כרכור",https://www.facebook.com/kalkidanrest,צפון,32.482166,34.969641
ויגן אקפרסס,"נחל צינה 41, מצפה רמון",https://www.instagram.com/veganxpress777,דרום,,
טופו אן,"דרך העצמאות 74, בנימינה",https://www.facebook.com/TOFUAN,צפון,,
קוקו,"שדרות וושינגטון 30, תל אביב",https://www.facebook.com/COCOVeganChocolate,מרכז,32.055109,34.769412
אוניקו," המסגר 38, תל אביב",https://unniku.co.il,מרכז,32.064506,34.786162
רביעי טבעוני בסנטר," דיזינגוף 50, תל אביב",https://www.instagram.com/explore/search/keyword/?q=%23%D7%A8%D7%91%D7%99%D7%A2%D7%99%D7%98%D7%91%D7%A2%D7%95%D7%A0%D7%99,מרכז,32.090815,34.775868
לבריאות,"עמל 1, רעננה",https://www.facebook.com/lbriutraanana,מרכז,32.186024,34.867836
רק מרק,"ביאליק 76, רמת גן",https://rakmarak.co.il,מרכז,32.085761,34.811490
רק מרק,"כצנלסון 14, כפר סבא",https://rakmarak.co.il,מרכז,32.183276,34.904609
חומוס אבו דאבי,"המלך ג'ורג 81, תל אביב",https://www.facebook.com/hummusabudubi,מרכז,32.075921,34.776427
חומוס שיבת ציון,"שיבת ציון 2, חיפה",https://www.facebook.com/shivatzion2,צפון,32.813144,35.003576
,,,,30.812425,34.859476
